STT,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,,,,,,,,,,,,,,,,,,,
1,Cổ phiếu nào sau đây thuộc lĩnh vực bất động sản?,VIC,HPG,ACB,BVH,A,,,,,,,,,,,,,,,,,,,
2,Khối lượng giao dịch là gì?,Tổng giá trị cổ tức,Số cổ phiếu được giao dịch trong phiên,Tổng tiền trong tài khoản,Số lượng nhà đầu tư,B,,,,,,,,,,,,,,,,,,,
3,"Khi giá cổ phiếu tăng mạnh sau một thời gian giảm, nhưng sau đó lại giảm mạnh trở lại, hiện tượng này gọi là gì?",Bull trap,Pump,Breakout,Sideway,A,,,,,,,,,,,,,,,,,,,
4,Cổ phiếu penny là gì?,Cổ phiếu có giá trị lớn,Cổ phiếu nước ngoài,Cổ phiếu có thị giá thấp,Cổ phiếu của doanh nghiệp nhà nước,C,,,,,,,,,,,,,,,,,,,
5,STB là mã cổ phiếu của ngân hàng nào?,Sacombank,SeABank,SHB,SCB,A,,,,,,,,,,,,,,,,,,,
6,Lệnh ATO trong chứng khoán là gì?,Lệnh đặt mua theo giá cuối phiên,Lệnh mua với giá tốt nhất trong ngày,Lệnh mua/bán tại giá mở cửa,Lệnh tự động bán khi lỗ,C,,,,,,,,,,,,,,,,,,,
7,Công ty cổ phần là gì?,Công ty do nhà nước nắm 100% vốn,Công ty được chia cổ tức bằng vàng,Công ty phát hành cổ phiếu cho cổ đông,Công ty chỉ có một người sở hữu,C,,,,,,,,,,,,,,,,,,,
8,VN30-Index là chỉ số của bao nhiêu cổ phiếu?,Lợi nhuận từ giao dịch,20,30,50,C,,,,,,,,,,,,,,,,,,,
9,Khái niệm 'margin' nghĩa là gì?,,Chi phí phát hành cổ phiếu,Giao dịch ký quỹ vay vốn từ công ty chứng khoán,Số lượng cổ phiếu đang nắm giữ,C,,,,,,,,,,,,,,,,,,,
10,Tỷ lệ sở hữu tối đa của nhà đầu tư nước ngoài thường là bao nhiêu?,20%,30%,49%,100%,C,,,,,,,,,,,,,,,,,,,
11,"Khi thị trường đi xuống liên tục, người ta gọi là gì?",Bull market,Bear market,Green market,Hot market,B,,,,,,,,,,,,,,,,,,,
12,Sàn nào sau đây không phải là sàn chứng khoán Việt Nam?,HOSE,HNX,UPCoM,NYSE,D,,,,,,,,,,,,,,,,,,,
13,ETF là viết tắt của gì?,Equity Trade Foundation,Exchange-Traded Fund,Electronic Trade Finance,Easy Trade Fund,B,,,,,,,,,,,,,,,,,,,
